Order_ID,Customer_Name,Product,Category,Quantity,Price,Order_Date,Shipped,Country
70,Erica Bennett,Sneakers,Clothing,2,1523.35,2024-02-06,No,Argentina
71,Paul Davis,Bottled Water,Food & Beverage,14,1991.93,2026-02-27,No,Canada
72,Holly Thompson,Printer,Electronics,3,483.17,2024-03-26,Yes,Mexico
73,Kristin Curtis,Tape,Stationery,9,345.51,2025-12-19,Yes,Canada
74,Richard Garcia,Office Chair,Furniture,4,965.79,2025-02-13,Yes,Italy
75,Raymond Torres,Eraser,Stationery,5,285.02,2025-05-03,No,Mexico
76,Elizabeth Jones,Stapler,Stationery,9,69.69,2026-03-29,Yes,France
77,Shannon Figueroa,Hat,Clothing,14,2009.39,2024-02-21,No,Uae
78,Austin Pena,Pen,Stationery,13,683.59,2025-12-27,No,Brazil
79,Abigail Schwartz,Stapler,Stationery,9,1754.44,2026-07-07,No,Brazil
80,Andrea Martinez,Tablet,Electronics,4,1530.31,2026-05-21,No,Australia
81,Brandy Gay,Smartphone,Electronics,15,1420.28,2024-08-09,Yes,United States
82,Dr. Sabrina Lynch DDS,Standing Desk,Furniture,3,770.88,2026-10-05,No,India
83,Sandra Carney,Bed,Furniture,14,999.98,2024-10-25,Yes,Spain
84,Brittany Hooper,Bookshelf,Furniture,1,1535.99,2026-04-19,Yes,Italy
85,Ryan Joseph,Tablet,Electronics,2,2167.27,2026-05-08,No,United States
86,Kimberly Christian,Printer,Electronics,7,502.76,2024-04-04,No,China
87,Heather Davis,USB Drive,Electronics,6,1926.02,2025-07-03,No,France
88,Katie Carlson MD,Tape,Stationery,15,1781.25,2025-10-29,Yes,South Korea
89,Andrew Lowe,Dining Table,Furniture,14,646.81,2024-04-21,Yes,France
90,Eric Cisneros,File Cabinet,Furniture,2,293.18,2024-08-12,No,Uae
91,Edward Cox,Sofa,Furniture,13,1223.41,2025-03-17,Yes,South Africa
92,Jessica Burns,Scarf,Clothing,13,6.76,2026-03-18,No,Italy
93,Ashlee Swanson,Webcam,Electronics,5,1561.67,2026-03-04,No,Australia
94,Samantha Hamilton,Sofa,Furniture,15,2219.73,2025-07-29,Yes,Japan
95,Michael Green,Dining Table,Furniture,2,139.66,2024-04-04,No,Germany
96,Lynn Wilson,Desk Lamp,Furniture,15,1184.3,2025-02-05,Yes,Uk
97,Mary Willis,Bookshelf,Furniture,6,156.79,2026-03-03,Yes,South Africa
98,Diane Smith,Snack Bar,Food & Beverage,2,1586.21,2025-06-16,No,United States
99,Jennifer Haynes,Pen,Stationery,8,427.68,2026-10-21,No,Italy
100,Christopher Leonard,Mouse,Electronics,9,356.15,2024-08-31,Yes,Germany
101,Bobby Barr,Green Tea,Food & Beverage,5,1784.24,2024-10-29,Yes,Germany
102,Jeffrey Oliver,Jeans,Clothing,15,1639.89,2026-07-25,No,Spain
103,Shelly Hunter,Laptop,Electronics,1,2314.66,2024-06-09,Yes,Germany
104,Anthony Morris,Bottled Water,Food & Beverage,7,2256.05,2024-10-16,No,Brazil
105,Andre Morgan,Bread,Food & Beverage,11,2412.94,2026-10-06,Yes,Spain
106,Tanner Hernandez,Dining Table,Furniture,14,1956.87,2024-05-27,Yes,Singapore
107,Larry Hamilton,Tape,Stationery,6,1015.88,2024-12-28,No,Uk
108,Katherine Duke,Bed,Furniture,1,1109.97,2024-03-16,Yes,Japan
109,Kimberly Brown,Jeans,Clothing,3,1665.19,2024-12-13,No,India
110,Zoe Davis,Juice,Food & Beverage,2,2493.47,2026-12-08,Yes,Spain
111,Manuel Cooper,Jeans,Clothing,3,115.07,2025-08-17,Yes,Australia
112,Erica Knight,Jacket,Clothing,12,1924.34,2026-02-03,Yes,Canada
113,Kevin Spencer,Bread,Food & Beverage,9,396.2,2025-08-09,Yes,Italy
114,Kenneth Briggs,Green Tea,Food & Beverage,3,1893.97,2025-07-07,Yes,Italy
115,Teresa Brady,Scarf,Clothing,3,248.53,2025-06-17,Yes,Spain
116,Jeremy Boone,Glue Stick,Stationery,5,326.93,2024-12-15,Yes,United States
117,Jessica Wilson,Green Tea,Food & Beverage,15,2278.72,2025-05-31,No,South Korea
118,Jessica Alexander,Jeans,Clothing,2,598.27,2026-03-06,Yes,Mexico
119,Wendy Alexander,Scarf,Clothing,5,847.4,2024-09-25,Yes,South Africa
120,Michael Miller,Sneakers,Clothing,13,1481.32,2025-06-17,Yes,Sweden
121,Victoria Peterson,Coffee Beans,Food & Beverage,7,2342.35,2025-04-17,No,Uae
122,Heather Bridges,Eraser,Stationery,4,2433.91,2026-06-26,No,Brazil
123,Jessica Smith,Socks,Clothing,12,1951.31,2026-12-28,No,Australia
124,Christine Bartlett,Sofa,Furniture,15,1027.95,2025-01-11,No,South Korea
125,Jeanette Miller,USB Drive,Electronics,7,923.21,2025-11-21,No,Germany
126,Michael Gomez,Bed,Furniture,1,333.93,2026-05-31,No,United States
127,Mr. Mark Hensley,Keyboard,Electronics,13,643.17,2024-02-27,No,South Korea
128,Brittney Torres,T-Shirt,Clothing,9,578.91,2024-02-26,Yes,India
129,Richard Rice,Scarf,Clothing,3,1756.45,2024-12-28,Yes,Italy
130,Maria Johnson,Notebook,Stationery,11,580.19,2026-07-28,No,Argentina
131,Daniel Gilbert,Bed,Furniture,8,2431.82,2024-12-12,Yes,Singapore
132,Brooke Shields,Ruler,Stationery,14,808.87,2026-07-17,Yes,Sweden
133,Sarah Baker,Juice,Food & Beverage,8,1220.02,2025-02-03,Yes,South Korea
134,Jimmy Price,USB Drive,Electronics,2,779.0,2025-06-16,Yes,Netherlands
135,Audrey Carrillo,Pencil,Stationery,1,963.07,2025-05-01,Yes,Spain
136,Johnny Thomas,Bed,Furniture,9,1752.87,2024-08-10,Yes,Mexico
137,Edward Haas,Snack Bar,Food & Beverage,6,2235.21,2024-12-12,Yes,United States
138,Daniel Miller,Jacket,Clothing,2,443.74,2025-03-19,No,China
139,Mr. Troy Floyd,Sofa,Furniture,15,2037.67,2024-12-16,Yes,Netherlands
140,Laura Silva,Desk Lamp,Furniture,4,2394.46,2025-10-10,Yes,Singapore
141,Anita White,Juice,Food & Beverage,2,1124.99,2024-05-02,Yes,Italy
142,Kathy Smith,Bread,Food & Beverage,13,1340.09,2025-02-21,Yes,Sweden
143,Rachel Perry,Green Tea,Food & Beverage,5,1742.76,2024-11-07,Yes,Spain
144,Lisa Watson,Headphones,Electronics,13,420.0,2026-01-24,No,India
145,Victoria Ortiz,Bread,Food & Beverage,4,2334.64,2026-05-15,No,Canada
146,Jonathan Cole,Green Tea,Food & Beverage,2,2480.71,2026-09-21,No,South Korea
147,Adam Joseph,Dining Table,Furniture,6,1823.28,2026-03-24,Yes,South Africa
148,Robert Martinez,Snack Bar,Food & Beverage,3,1047.05,2026-11-14,No,Canada
149,Crystal Wilson,Socks,Clothing,4,260.8,2025-12-17,Yes,Italy
150,Daniel Hall,Juice,Food & Beverage,15,1780.24,2026-06-02,Yes,Spain
151,Timothy Nelson,Pen,Stationery,11,1329.94,2025-04-27,Yes,Uk
152,Marilyn Brown,Scarf,Clothing,5,684.22,2026-07-20,Yes,Netherlands
153,Jose Vance,Sofa,Furniture,3,1396.63,2026-06-19,Yes,Argentina
154,Amy Morrison,Coffee Beans,Food & Beverage,3,1952.52,2025-06-14,Yes,Spain
155,Michelle Pacheco,Pen,Stationery,9,634.08,2025-01-13,No,China
156,Victoria Smith,Standing Desk,Furniture,15,2455.06,2026-10-15,Yes,Spain
157,Crystal Mason,Smartphone,Electronics,15,530.27,2026-01-31,No,Mexico
158,Paul Frost,Scarf,Clothing,8,2159.0,2024-05-28,Yes,Japan
159,Anthony Hernandez,Mouse,Electronics,2,2401.91,2024-12-24,Yes,Singapore
160,John Perkins,Green Tea,Food & Beverage,8,2189.67,2025-02-02,No,Sweden
161,Heather Ramirez,Eraser,Stationery,2,461.38,2026-07-08,Yes,Japan
162,Kelly Williams,Mouse,Electronics,14,2300.27,2026-12-28,No,Italy
163,Angel Sharp,Headphones,Electronics,3,303.96,2024-12-14,Yes,Singapore
164,Kimberly Davidson,Sofa,Furniture,9,1978.86,2024-01-10,No,Sweden
165,Dustin Fuentes,Green Tea,Food & Beverage,4,1114.78,2025-07-14,Yes,Italy
166,Stephen Conley,Mouse,Electronics,2,1740.74,2025-05-03,Yes,South Korea
167,Timothy Robles,Bread,Food & Beverage,1,902.65,2026-05-23,Yes,Germany
168,Heather Alexander,Coffee Beans,Food & Beverage,2,745.93,2026-09-23,Yes,Sweden
169,Heidi Baker,File Cabinet,Furniture,7,2469.2,2024-11-03,Yes,Mexico
170,Joshua Murray,Green Tea,Food & Beverage,10,1298.83,2026-08-28,Yes,Brazil
171,John Reed,Ruler,Stationery,8,1202.42,2024-04-09,No,Canada
172,Tammy Stevens,Office Chair,Furniture,11,1520.65,2025-02-12,No,Japan
173,Terri Melton,Bottled Water,Food & Beverage,12,2021.7,2025-11-21,No,Italy
174,Amanda Davis,Standing Desk,Furniture,1,1017.67,2024-03-27,No,Germany
175,Ryan Hall,Standing Desk,Furniture,5,1181.99,2026-12-19,No,Brazil
176,Angela Ryan,Hat,Clothing,9,1140.58,2024-10-17,Yes,Uk
177,John Lam,Mouse,Electronics,8,1876.0,2024-01-20,Yes,Argentina
178,Joseph Gay,Snack Bar,Food & Beverage,14,312.83,2025-10-02,Yes,Japan
179,Stephanie Clark,Jeans,Clothing,12,415.94,2024-03-01,Yes,Australia
180,Troy Lyons,USB Drive,Electronics,12,507.6,2026-10-26,Yes,Spain
181,Matthew Trevino,Jacket,Clothing,10,45.79,2024-04-29,No,Canada
182,Linda Harmon,Webcam,Electronics,2,948.6,2024-05-16,No,South Korea
183,Mark James,Jacket,Clothing,1,517.71,2026-04-17,Yes,Germany
184,Ryan Mcknight,Printer,Electronics,13,38.45,2025-06-12,No,South Korea
185,Andrew Neal,Coffee Beans,Food & Beverage,15,63.33,2024-04-30,Yes,Germany
186,Benjamin Chapman,Bread,Food & Beverage,9,406.62,2025-07-11,No,Netherlands
187,Ariel Powell,Smartphone,Electronics,3,274.94,2024-12-29,Yes,Italy
188,Jonathan Mclean,Laptop,Electronics,3,316.68,2026-03-13,No,Spain
189,Robert Dawson,Stapler,Stationery,3,1407.46,2026-04-29,Yes,Brazil
190,Jonathan Roach,Juice,Food & Beverage,8,1254.47,2026-10-26,Yes,South Africa
191,Angela Young,Sneakers,Clothing,6,845.62,2025-04-27,No,Italy
192,Mackenzie Perez,Tablet,Electronics,12,1549.25,2024-07-08,Yes,China
193,Kelsey Galvan,Pen,Stationery,9,1100.55,2025-08-03,No,Singapore
194,Nicholas Johnson,Green Tea,Food & Beverage,4,1766.05,2026-06-29,Yes,South Korea
195,Bridget Rogers,Bed,Furniture,2,2330.11,2025-01-08,Yes,China
196,Joseph Wade,Stapler,Stationery,14,1708.69,2025-08-27,Yes,Uae
197,Melissa Burgess,Jacket,Clothing,8,749.37,2024-04-10,Yes,Canada
198,Sharon Roman MD,Green Tea,Food & Beverage,15,1321.78,2026-07-05,Yes,Brazil
199,Meagan Dean,Snack Bar,Food & Beverage,2,1113.41,2025-11-08,Yes,Spain
200,Carol House,Notebook,Stationery,14,2114.21,2024-09-10,Yes,China
201,Doris Hayden,Jeans,Clothing,12,1837.68,2024-10-04,No,South Africa
202,Michael Peterson,Glue Stick,Stationery,13,1175.31,2025-09-29,Yes,United States
203,Hannah Murphy,Coffee Beans,Food & Beverage,3,1340.89,2026-04-01,Yes,South Korea
204,Austin White,Sofa,Furniture,9,1440.21,2025-09-18,Yes,South Africa
205,Emily Mitchell,Office Chair,Furniture,9,1658.45,2026-10-18,Yes,Netherlands
206,Kenneth Wood,T-Shirt,Clothing,13,2166.14,2026-01-14,Yes,South Africa
207,Monica Smith,Green Tea,Food & Beverage,7,965.37,2026-07-23,Yes,Brazil
208,Adriana Gaines,Mouse,Electronics,14,27.44,2025-08-09,No,Netherlands
209,Elizabeth Lopez,Scarf,Clothing,1,950.82,2025-07-10,No,France
210,Albert Brown,Scarf,Clothing,15,987.36,2025-12-05,Yes,Italy
211,Gwendolyn Mendoza,Printer,Electronics,6,1249.46,2024-04-02,No,Singapore
212,Shelly Morgan,File Cabinet,Furniture,2,1382.32,2025-02-28,Yes,Spain
213,Ryan Castillo,Coffee Beans,Food & Beverage,3,1203.77,2025-03-17,Yes,Singapore
214,James Wade,Bookshelf,Furniture,2,1822.26,2026-03-17,No,Spain
215,Jason Petty,Desk Lamp,Furniture,6,1496.04,2025-07-02,Yes,Singapore
216,Willie Keller,Bottled Water,Food & Beverage,13,2195.72,2025-09-14,Yes,Singapore
217,Kimberly Barber,Jeans,Clothing,1,1257.15,2024-01-21,No,Uk
218,Debbie Miller DDS,Tape,Stationery,13,814.01,2025-06-11,Yes,Japan
219,Christine Jones,Printer,Electronics,7,1388.87,2025-11-09,Yes,India
220,Heidi Gentry,Desk Lamp,Furniture,9,2406.06,2024-03-15,No,Australia
221,Mary Schultz,Hat,Clothing,11,399.86,2024-04-22,Yes,Mexico
222,Mary Robinson,File Cabinet,Furniture,9,1216.27,2025-03-15,Yes,United States
223,Brooke Sanchez,Stapler,Stationery,9,2241.55,2024-10-25,Yes,Sweden
224,Melissa Williams,Office Chair,Furniture,15,220.62,2024-10-10,No,Japan
225,Mr. Ronald Barrett MD,Ruler,Stationery,12,703.37,2024-05-02,Yes,United States
226,Christopher Wagner,Glue Stick,Stationery,8,981.49,2026-01-08,Yes,South Korea
227,Kelly Scott,Standing Desk,Furniture,7,1563.09,2026-03-28,Yes,India
228,John Page,Tape,Stationery,11,1885.52,2025-12-12,Yes,Argentina
229,Victor Kirk,Green Tea,Food & Beverage,10,617.37,2024-01-25,Yes,Netherlands
230,Kirsten Smith,Coffee Beans,Food & Beverage,12,1005.13,2025-09-07,No,Mexico
231,Daniel Patton,Headphones,Electronics,7,1420.91,2025-05-04,No,Germany
232,William Hawkins,Sneakers,Clothing,2,123.45,2024-08-10,No,Australia
233,Stephanie Cooper,Bed,Furniture,15,1811.54,2026-01-23,Yes,Japan
234,James Dunn,Jeans,Clothing,6,727.15,2025-12-11,Yes,Uae
235,Anne Smith,Jacket,Clothing,14,853.9,2025-07-22,Yes,Brazil
236,Julia Snyder,Bed,Furniture,8,1783.54,2025-05-24,No,Netherlands
237,Erik Lee,Ruler,Stationery,11,1771.29,2025-05-07,Yes,France
238,James Jordan,Eraser,Stationery,1,787.99,2025-05-29,Yes,Netherlands
239,Madison Trujillo,Jeans,Clothing,5,1508.89,2026-05-26,Yes,Spain
240,Melinda Moore,Tape,Stationery,13,1182.11,2026-09-27,Yes,Australia
241,Allison Barker,Bookshelf,Furniture,2,2475.9,2025-03-24,Yes,Italy
242,Jennifer Kelly,Green Tea,Food & Beverage,11,2321.33,2024-11-12,No,Uk
243,Thomas Bryant,Laptop,Electronics,3,1446.16,2024-01-11,Yes,Japan
244,Shannon Moreno,Notebook,Stationery,6,1818.21,2025-03-03,Yes,Brazil
245,Thomas Warren,Jacket,Clothing,4,196.9,2026-11-23,No,Canada
246,Lori Coffey,Office Chair,Furniture,6,1315.18,2024-02-26,Yes,South Africa
247,Nicole Smith,Sofa,Furniture,4,1419.42,2024-10-17,Yes,Canada
248,Mary Baker,Laptop,Electronics,10,1276.24,2026-06-12,No,Netherlands
249,Anthony Nelson,Webcam,Electronics,4,108.7,2026-08-05,No,Canada
250,Stephanie Jenkins,Jeans,Clothing,12,2398.48,2026-08-17,Yes,Netherlands
251,Jeffrey Paul,Bread,Food & Beverage,15,1749.16,2025-12-15,Yes,Italy
252,Michael Avila,Stapler,Stationery,2,1382.34,2025-10-18,Yes,Sweden
253,Hector Sloan,Hat,Clothing,4,400.26,2025-05-21,No,Italy
254,Kenneth Hines,Bottled Water,Food & Beverage,13,787.41,2026-12-19,No,Australia
255,Cory Taylor,Headphones,Electronics,7,891.11,2024-10-05,No,Spain
256,Charles Graham,Monitor,Electronics,4,2069.75,2026-04-20,Yes,Germany
257,Lisa Harris,Green Tea,Food & Beverage,2,2298.68,2025-11-30,Yes,Uae
258,Linda Gibson,Office Chair,Furniture,12,140.69,2025-11-18,Yes,Uk
259,Mr. Steven Phelps,Bookshelf,Furniture,14,1759.32,2025-08-04,Yes,Canada
260,Erin Hanson,Sneakers,Clothing,15,1217.54,2025-10-15,No,South Korea
261,Stephanie Murphy,Green Tea,Food & Beverage,7,2429.58,2024-07-04,No,Germany
262,Alyssa Burch,Bed,Furniture,10,1806.4,2026-08-03,Yes,India
263,Alicia Bass,Eraser,Stationery,8,1835.0,2026-05-08,Yes,Brazil
264,Bruce Lawson,Printer,Electronics,4,2390.8,2025-06-03,No,Australia
265,Jerry Curtis,Bed,Furniture,5,1137.66,2025-09-24,Yes,Uk
266,David Sherman,Pencil,Stationery,8,1892.79,2026-08-08,Yes,Argentina
267,Jason Mccoy,Socks,Clothing,12,1028.39,2024-01-19,No,India
268,Jillian Cruz,Bookshelf,Furniture,11,1488.39,2025-09-21,Yes,India
269,Heather Potter,Jeans,Clothing,9,844.58,2024-01-19,Yes,Japan
270,Austin Lewis,Bottled Water,Food & Beverage,8,1926.48,2026-09-27,Yes,Brazil
271,Laura Rodriguez,Bread,Food & Beverage,13,320.53,2024-11-18,Yes,Singapore
272,Tanya Francis,Socks,Clothing,8,1881.88,2024-12-29,Yes,India
273,Joseph Bell,Hat,Clothing,12,1527.29,2025-08-02,Yes,Uk
274,Meredith Hamilton,T-Shirt,Clothing,5,2170.45,2026-08-13,Yes,United States
275,Jason Ward,Coffee Beans,Food & Beverage,6,592.25,2026-02-28,No,Uae
276,Courtney Henderson,T-Shirt,Clothing,7,799.31,2026-07-01,Yes,Italy
277,Mark Green,File Cabinet,Furniture,13,2008.63,2025-02-04,No,Canada
278,Jesse Turner,Headphones,Electronics,10,143.3,2026-01-31,Yes,Singapore
279,Craig Avila,Socks,Clothing,13,1639.77,2024-09-16,No,Brazil
280,Christopher Floyd,Jacket,Clothing,15,2019.57,2025-05-26,Yes,Australia
281,Jennifer Pierce,Desk Lamp,Furniture,8,1971.17,2025-01-08,Yes,South Korea
282,James Hall,Office Chair,Furniture,6,1466.98,2024-03-30,Yes,Mexico
283,Brandon Waller,Eraser,Stationery,10,2104.22,2025-03-12,No,United States
284,Michael Smith,Eraser,Stationery,13,695.33,2026-04-07,Yes,Mexico
285,Heather Hoffman,Glue Stick,Stationery,4,1525.7,2026-11-09,Yes,Brazil
286,Alicia Long,Headphones,Electronics,7,95.63,2025-02-09,Yes,Uae
287,Samuel Sanchez,Jacket,Clothing,1,1376.93,2026-02-26,No,Spain
288,Stephanie Wilkinson,File Cabinet,Furniture,1,1352.21,2025-07-03,Yes,Japan
289,Warren Mullins,Dining Table,Furniture,12,1372.35,2026-03-31,No,South Korea
290,Tracey Davis,Pen,Stationery,4,1519.87,2026-05-20,Yes,Italy
291,Susan Lewis,Pen,Stationery,1,1719.31,2026-12-18,Yes,Italy
292,Rita Mosley,Sofa,Furniture,8,619.31,2026-08-15,Yes,Netherlands
293,Shannon Medina,Headphones,Electronics,9,1583.85,2026-08-27,No,Spain
294,Dr. Tonya Moses,Green Tea,Food & Beverage,4,1222.85,2026-10-03,Yes,South Africa
295,Michael Benjamin,Tablet,Electronics,11,2291.75,2025-10-01,No,South Korea
296,Kevin Alexander,Sofa,Furniture,11,985.7,2024-01-30,Yes,Uae
297,Tamara Johnson,Tablet,Electronics,8,676.57,2025-10-04,Yes,Argentina
298,Michael Peters,Notebook,Stationery,14,83.29,2025-12-02,Yes,South Korea
299,Elizabeth Richard,Jacket,Clothing,9,1561.42,2026-12-09,Yes,Singapore
300,Carrie Yu,Tape,Stationery,12,2374.29,2026-08-10,Yes,Canada
301,Bonnie Johnson,Laptop,Electronics,7,1648.98,2025-08-27,No,Sweden
302,Dennis Hicks,Bed,Furniture,2,1199.88,2025-03-12,Yes,Brazil
303,Michelle Reynolds,Green Tea,Food & Beverage,10,2435.39,2025-12-03,No,Mexico
304,Catherine Brown,Webcam,Electronics,15,456.68,2024-06-10,Yes,China
305,Mr. Justin Warner MD,Printer,Electronics,13,2174.04,2024-01-23,Yes,Japan
306,Robert Hoffman,Tablet,Electronics,4,100.56,2024-04-27,Yes,Sweden
307,Christopher Montoya,Green Tea,Food & Beverage,9,47.36,2024-04-09,Yes,China
308,Jessica Hardin,Snack Bar,Food & Beverage,11,715.85,2026-05-29,Yes,United States
309,Melissa Perez MD,Scarf,Clothing,1,1027.32,2025-06-07,Yes,Singapore
310,Jonathan Garcia,Sofa,Furniture,15,2254.83,2026-09-30,Yes,Australia
311,Kristina Mason,Bed,Furniture,4,1099.26,2025-08-15,Yes,Netherlands
312,Robert Reynolds,Snack Bar,Food & Beverage,5,476.0,2026-04-10,Yes,United States
313,Gary Russo,Dining Table,Furniture,9,2126.37,2024-05-17,Yes,Argentina
314,Laura Roth MD,Juice,Food & Beverage,12,2280.32,2026-08-06,Yes,Uae
315,Tonya Burton,Office Chair,Furniture,13,516.23,2025-12-11,No,Brazil
316,Laura Sheppard,Tape,Stationery,10,872.69,2025-12-09,Yes,China
317,Sherry Parks,Standing Desk,Furniture,4,2239.86,2026-01-24,No,Uae
318,Randy Clark,Green Tea,Food & Beverage,9,312.06,2024-02-02,No,Sweden
319,Meagan Herring,Bottled Water,Food & Beverage,2,1594.77,2026-07-14,Yes,Italy
320,Tyler Smith,Glue Stick,Stationery,8,526.42,2025-02-03,Yes,United States
321,Eric Alvarez,Green Tea,Food & Beverage,3,758.32,2024-09-06,Yes,United States
322,Victoria Sosa,Glue Stick,Stationery,8,2495.93,2026-10-28,Yes,Spain
323,Donald Reeves,Juice,Food & Beverage,7,1923.04,2024-06-13,No,China
324,Felicia Sullivan,Notebook,Stationery,12,1090.22,2025-11-25,Yes,China
325,Michael Gross,File Cabinet,Furniture,5,601.92,2026-12-31,Yes,Brazil
326,Edwin Allen,Socks,Clothing,1,1750.62,2026-07-29,No,Uae
